Hack Squat Machine,"['Quads', 'Glutes', 'Adductors']",['muscle growth']
Half Air Squat,"['Quads', 'Glutes', 'Adductors']",['Calves']
Hip Adduction Machine,['Adductors'],[]
Jumping Lunge,"['Quads', 'Glutes', 'Adductors']",[]
Landmine Hack Squat,"['Quads', 'Glutes', 'Adductors']",[]
Landmine Squat,"['Quads', 'Glutes', 'Adductors']","['', 'Lower Back', 'Calves']"
Leg Curl On Ball,['Hamstrings'],['Glutes']
Leg Extension,['Quads'],[]
Leg Press,"['Quads', 'Glutes', 'Adductors']",['Hamstrings']
Lying Leg Curl,['Hamstrings'],[]
Nordic Hamstring Eccentric,['Hamstrings'],[]
Pause Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Reverse Barbell Lunge,"['Adductors', 'Quads', 'Glutes']",[]
Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Safety Bar Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Seated Leg Curl,['Hamstrings'],[]
Shallow Body Weight Lunge,"['Quads', 'Glutes', 'Adductors']",['Hamstrings']
Side Lunges (Bodyweight),"['Quads', 'Glutes']",['Adductors']
Smith Machine Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Squat,"['', 'Quads', '', 'Adductors', '', 'Glutes', '', 'Lower Back']","['', 'Calves']"
Step Up,"['Quads', 'Glutes', 'Adductors']",['Hamstrings']
Zercher Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Zombie Squat,"['Quads', 'Glutes', 'Adductors', 'Lower Back']",['Calves']
Assisted Chin-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Assisted Pull-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Back Extension,"['Glutes', 'Lower Back']",['Hamstrings']
Banded Muscle-Up,"['Chest', 'Lats', 'Triceps']","['Biceps', 'Forearm Flexors', 'Front Deltoid', 'Rear Deltoids', 'Rotator Cuffs']"
Barbell Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Lower Back', 'Forearm Flexors', 'Rotator Cuff']"
Barbell Shrug,['Trapezius'],['Forearm Flexors']
Block Clean,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Calves']"
Block Snatch,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Calves', 'Forearm Flexors']"
Cable Close Grip Seated Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuffs']"
Cable Wide Grip Seated Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuffs']"
Chin-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
